CLIENT,DAY,MEAL_NAME,SNACK
Melisa,1,Hulk,0
Melisa,1,Thor,0
Melisa,1,Captain,0
Melisa,2,Hulk,0
Melisa,2,Thor,0
Melisa,2,Captain,0
Melisa,3,Hulk,0
Melisa,3,Thor,0
Melisa,3,Captain,0
Melisa,4,Hulk,0
Melisa,4,Thor,0
Melisa,4,Captain,0
Melisa,5,Hulk,0
Melisa,5,Thor,0
Melisa,5,Captain,0
David,1,Captain,0
David,1,Iron Man,0
David,1,Black Widow,0
David,2,Captain,0
David,2,Iron Man,0
David,2,Black Widow,0
David,3,Captain,0
David,3,Iron Man,0
David,3,Black Widow,0
David,4,Captain,0
David,4,Iron Man,0
David,4,Black Widow,0
David,5,Captain,0
David,5,Iron Man,0
David,5,Black Widow,0
Jackson,1,Captain,0
Jackson,1,Black Widow,0
Jackson,1,Hulk,0
Jackson,1,Protein Shake,1
Jackson,2,Captain,0
Jackson,2,Black Widow,0
Jackson,2,Hulk,0
Jackson,2,Protein Shake,1
Jackson,3,Captain,0
Jackson,3,Black Widow,0
Jackson,3,Hulk,0
Jackson,3,Protein Shake,1
Jackson,4,Captain,0
Jackson,4,Black Widow,0
Jackson,4,Hulk,0
Jackson,4,Protein Shake,1
Jackson,5,Captain,0
Jackson,5,Black Widow,0
Jackson,5,Hulk,0
Jackson,5,Protein Shake,1
Jade,1,Iron Man,0
Jade,1,Black Widow,0
Jade,1,Thor,0
Jade,1,Protein Shake,1
Jade,2,Iron Man,0
Jade,2,Black Widow,0
Jade,2,Thor,0
Jade,2,Protein Shake,1
Jade,3,Iron Man,0
Jade,3,Black Widow,0
Jade,3,Thor,0
Jade,3,Protein Shake,1
Jade,4,Iron Man,0
Jade,4,Black Widow,0
Jade,4,Thor,0
Jade,4,Protein Shake,1
Jade,5,Iron Man,0
Jade,5,Black Widow,0
Jade,5,Thor,0
Jade,5,Protein Shake,1
Rianni,1,Thor,0
Rianni,1,Captain,0
Rianni,1,Iron Man,0
Rianni,1,Protein Shake,1
Rianni,2,Thor,0
Rianni,2,Captain,0
Rianni,2,Iron Man,0
Rianni,2,Protein Shake,1
Rianni,3,Thor,0
Rianni,3,Captain,0
Rianni,3,Iron Man,0
Rianni,3,Protein Shake,1
Rianni,4,Thor,0
Rianni,4,Captain,0
Rianni,4,Iron Man,0
Rianni,4,Protein Shake,1
Rianni,5,Thor,0
Rianni,5,Captain,0
Rianni,5,Iron Man,0
Rianni,5,Protein Shake,1
Bryden,1,Hulk,0
Bryden,1,Thor,0
Bryden,1,Captain,0
Bryden,1,Black Widow,0
Bryden,2,Hulk,0
Bryden,2,Thor,0
Bryden,2,Captain,0
Bryden,2,Black Widow,0
Bryden,3,Hulk,0
Bryden,3,Thor,0
Bryden,3,Captain,0
Bryden,3,Black Widow,0
Bryden,4,Hulk,0
Bryden,4,Thor,0
Bryden,4,Captain,0
Bryden,4,Black Widow,0
Bryden,5,Hulk,0
Bryden,5,Thor,0
Bryden,5,Captain,0
Bryden,5,Black Widow,0
